№ реєстр.картки,Ідент. номер /кліпса,Дата реєстрації,Кличка,стать ,,"вага, кг",Вакцинація проти сказу (дата),Стерилізація/ кастрація (дата),Місце відлову,Перебування/
,,,,,вік,,,,,дата вибуття
582,,4/2/2024,Барбі,с,6 міс,17.5,,4/2/2024,рокітне,4/8/2024
583,,4/9/2024,Моня,с,3 рік,9 кг,,5/9/2024,р-н Рокітне,5/21/2024
584,,4/9/2024,Сімба,к,1 рік,9.5,,,р-н Рокітне,
595,,4/10/2024,Альфа,с,3 роки,32,,,пров. Партизанської слави,4/12/2024
596,,4/11/2024,Сіма,с,1 рік,10,,,вул. Пирятинська,9/18/2024
597,,4/2/2024,Амур,к,2 роки,17,,4/2/2024,р-н Рокітне,4/2/2024
598,,4/11/2024,Зіта,с,5-6 міс,16,,4/11/2024,вул. Пирятинська,4/11/2024
599,,4/9/2024,Джесі,с,2 роки,15,,4/9/2024,волонтери,4/9/2024
600,,4/15/2024,Стаф,с,3-4 роки,40,,4/19/2024,вул. В.Чорновола,4/28/2024
601,,4/13/2024,Пушинка,с,3 роки,25 кг,,4/13/2024,волонтери,4/13/2024
602,,4/17/2024,Грей,к,5 років,25 кг,,4/17/2024,волонтери,4/17/2024
603,,4/12/2024,Найда,с,5 міс,10 кг,,4/12/2024,вул. Ветеранська,4/21/2024
